Size MeanTime StDev
10 431.9 728.839
20 460.8 106.721
30 670.4 144.42
40 909.5 90.3241
50 1649.8 641.582
60 1494.3 191.504
70 2441 738.743
80 2396.5 383.025
90 2988.3 1062.74
100 3600.5 942.842
110 3762.5 1015.68
120 3882 929.242
130 4553.8 1564.87
140 4883.4 1402.72
150 4650.7 1416.72
160 5418.2 1460.29
170 5548.8 965.196
180 5596.2 863.887
190 6106.4 1086.19
200 7075.1 1369.9
210 6818 1177.28
220 7741.4 2700.66
230 8195.1 1600.55
240 8152.6 3442.59
250 3996.4 964.644
260 4493.1 652.142
270 4215.2 915.817
280 4585.1 1019.51
290 5975.6 3943.35
300 5382.8 1832.24
310 4496.2 233.747
320 6004.8 2618.22
330 5765.1 1693.53
340 6039.3 863.442
350 6079.7 1437.68
360 5251.5 476.42
370 5577.6 559.688
380 5640.9 466.679
390 5785.4 234.552
400 6626.3 1362.41
410 7995.4 5295.63
420 6470 499.043
430 7007.9 985.193
440 6723.1 666.728
450 7250.2 1186.01
460 7176.3 1195.95
470 8053.1 1711.32
480 7320.2 542.802
490 7603.8 291.752
500 7761.9 661.157
510 7879.7 591.653
520 7900.8 275.468
530 9376.4 4572.96
540 8283.6 399.595
550 8472.9 626.65
560 8584.2 328.916
570 8643.5 176.243
580 9169 559.271
590 9517.8 705.914
600 9134.9 311.991
